{'mean': -10.012987012987013, 'median': -11.0, 'count': 154}
{'mean': -25.920454545454547, 'median': -26.0, 'count': 176}
{'mean': 17.435233160621763, 'median': 16, 'count': 193}
{'mean': 25.38888888888889, 'median': 24.0, 'count': 252}
{'mean': 1.4074074074074074, 'median': -1.0, 'count': 216}
{'mean': -7.864864864864865, 'median': -9, 'count': 185}
{'mean': -1.1650943396226414, 'median': -1.0, 'count': 212}
{'mean': -11.10897435897436, 'median': -9.0, 'count': 156}
{'mean': -29.540816326530614, 'median': -35.0, 'count': 196}
{'mean': 19.018957345971565, 'median': 17, 'count': 211}
{'mean': 10.008620689655173, 'median': 9.0, 'count': 232}
{'mean': 4.324468085106383, 'median': 5.0, 'count': 188}
{'mean': 5.229166666666667, 'median': 7.0, 'count': 192}
{'mean': -2.8833333333333333, 'median': -6.0, 'count': 180}
{'mean': -7.512658227848101, 'median': -8.0, 'count': 158}
{'mean': 9.624434389140271, 'median': 9, 'count': 221}
{'mean': 3.092511013215859, 'median': 8, 'count': 227}
{'mean': 31.623809523809523, 'median': 32.0, 'count': 210}
{'mean': -10.32394366197183, 'median': -6.5, 'count': 142}
{'mean': 19.613445378151262, 'median': 22.0, 'count': 238}
{'mean': 20.293617021276596, 'median': 21, 'count': 235}
{'mean': 19.601941747572816, 'median': 20.0, 'count': 206}
{'mean': -4.46067415730337, 'median': -4.0, 'count': 178}
{'mean': -19.38125, 'median': -17.0, 'count': 160}
{'mean': 2.8922413793103448, 'median': 5.0, 'count': 232}
{'mean': -5.630769230769231, 'median': -9, 'count': 195}
{'mean': -17.720588235294116, 'median': -15.0, 'count': 68}
{'mean': -5.784722222222222, 'median': -8.0, 'count': 144}
{'mean': -5.129943502824859, 'median': -6, 'count': 177}
{'mean': 2.188073394495413, 'median': -1.5, 'count': 218}
{'mean': -3.9171597633136095, 'median': -8, 'count': 169}
{'mean': 3.318681318681319, 'median': 6.0, 'count': 182}
{'mean': -5.42512077294686, 'median': -4, 'count': 207}
{'mean': -0.5170454545454546, 'median': 6.0, 'count': 176}
{'mean': 10.273127753303966, 'median': 12, 'count': 227}
{'mean': -3.05699481865285, 'median': -13, 'count': 193}
{'mean': -4.1745283018867925, 'median': -3.0, 'count': 212}
{'mean': 4.645502645502646, 'median': 6, 'count': 189}
{'mean': -2.8555555555555556, 'median': -2.5, 'count': 180}
{'mean': -15.402985074626866, 'median': -15.0, 'count': 134}
{'mean': -11.165680473372781, 'median': -17, 'count': 169}
{'mean': -13.330827067669173, 'median': -14, 'count': 133}
{'mean': 7.365591397849462, 'median': 7.0, 'count': 186}
{'mean': -4.693251533742331, 'median': -2, 'count': 163}
{'mean': 9.274881516587678, 'median': -3, 'count': 211}
{'mean': -1.2921348314606742, 'median': 0.0, 'count': 178}
{'mean': 10.47136563876652, 'median': 11, 'count': 227}
{'mean': 6.125628140703518, 'median': 14, 'count': 199}
{'mean': -5.7897727272727275, 'median': -5.0, 'count': 176}
{'mean': 6.689320388349515, 'median': 6.5, 'count': 206}
{'mean': 3.3577981651376145, 'median': 1.0, 'count': 218}
{'mean': 10.959183673469388, 'median': 15.5, 'count': 196}
{'mean': 17.14975845410628, 'median': 20, 'count': 207}
{'mean': 7.613207547169812, 'median': 7.0, 'count': 212}
{'mean': -3.272222222222222, 'median': -4.0, 'count': 180}
{'mean': -8.413978494623656, 'median': -7.5, 'count': 186}
{'mean': -8.306122448979592, 'median': -9, 'count': 147}
{'mean': 36.23504273504273, 'median': 36.0, 'count': 234}
{'mean': -16.846153846153847, 'median': -21.0, 'count': 156}
{'mean': 18.23076923076923, 'median': 17.0, 'count': 208}
{'mean': -7.120481927710843, 'median': -10.0, 'count': 166}
{'mean': -3.844311377245509, 'median': -10, 'count': 167}
{'mean': 14.336244541484715, 'median': 18, 'count': 229}
{'mean': -2.0172413793103448, 'median': -1.5, 'count': 174}
{'mean': -15.820143884892087, 'median': -16, 'count': 139}
{'mean': -22.46551724137931, 'median': -22.0, 'count': 116}
